"x","interact","estimate","stderr","min90","max90","model"
0,0,0.0103637484396728,0.00850201610773425,-0.00362206805755005,0.0243495649368956,"growthWDI"
1,0,0.0225950060077363,0.0088881400233337,0.00797401566935238,0.0372159963461203,"growthWDI"
2,0,0.0338520830557194,0.010468937159443,0.0166306814284357,0.0510734846830031,"growthWDI"
3,0,0.0441349795836221,0.0126576048074041,0.0233132196754424,0.0649567394918018,"growthWDI"
4,0,0.0534436955914443,0.0150766268464816,0.028642644428982,0.0782447467539066,"growthWDI"
5,0,0.0617782310791861,0.0175399360245118,0.0329250363188642,0.090631425839508,"growthWDI"
6,0,0.0691385860468474,0.0199588428892075,0.0363062894941011,0.101970882599594,"growthWDI"
7,0,0.0755247604944283,0.0222902245068877,0.038857341180598,0.112192179808259,"growthWDI"
8,0,0.0809367544219288,0.0245132939368914,0.0406123858957425,0.121261122948115,"growthWDI"
9,0,0.0853745678293488,0.026619143592845,0.0415860766191189,0.129163059039579,"growthWDI"
10,0,0.0888382007166884,0.028605797065566,0.0417816645438323,0.135894736889545,"growthWDI"
11,0,0.0913276530839476,0.0304757401160312,0.0411950605930763,0.141460245574819,"growthWDI"
12,0,0.0928429249311263,0.0322346348992224,0.0398169505219054,0.145868899340347,"growthWDI"
13,0,0.0933840162582246,0.0338906312769404,0.0376339278076576,0.149134104708792,"growthWDI"
14,0,0.0929509270652425,0.0354539927782393,0.0346291089450388,0.151272745185446,"growthWDI"
15,0,0.0915436573521799,0.0369368915126951,0.0307824708137964,0.152304843890563,"growthWDI"
16,0,0.0891622071190369,0.0383532908313342,0.0260710437014921,0.152253370536582,"growthWDI"
17,0,0.0858065763658134,0.0397188661254499,0.0204690415894482,0.151144111142179,"growthWDI"
18,0,0.0814767650925095,0.0410509302024501,0.0139479849094791,0.14900554527554,"growthWDI"
19,0,0.0761727732991252,0.0423683383703377,0.00647685667991964,0.145868689918331,"growthWDI"
20,0,0.0698946009856604,0.0436913539046698,-0.00197767618752136,0.141766878158842,"growthWDI"
21,0,0.0626422481521152,0.0450414593289485,-0.0114509524440051,0.136735448748235,"growthWDI"
22,0,0.0544157147984895,0.0464411043007072,-0.0219799017761738,0.130811331373153,"growthWDI"
23,0,0.0452150009247835,0.047913387564781,-0.0336025216192813,0.124032523468848,"growthWDI"
24,0,0.035040106530997,0.0494816784672271,-0.0463572545475916,0.116437467609585,"growthWDI"
25,0,0.02389103161713,0.0511691923001451,-0.0602822897166086,0.108064352950869,"growthWDI"
26,0,0.0117677761831826,0.0529985420400442,-0.0754148254726902,0.0989503778390553,"growthWDI"
27,0,-0.00132965977084522,0.0549912952539258,-0.0917903404635532,0.0891310209218627,"growthWDI"
28,0,-0.0154012762449534,0.0571675675499126,-0.10944192486456,0.0786393723746528,"growthWDI"
29,0,-0.0304470732391422,0.0595456820031136,-0.128399720134264,0.0675055736559797,"growthWDI"
