"x","interact","estimate","stderr","min90","max90"
0,0,NA,0.010721108714224,NA,NA
1,0,NA,0.011056526791864,NA,NA
2,0,NA,0.0124818315296168,NA,NA
3,0,NA,0.0145370391869271,NA,NA
4,0,NA,0.0168798600381827,NA,NA
5,0,NA,0.019314831690289,NA,NA
6,0,NA,0.0217379424805489,NA,NA
7,0,NA,0.0240941654764215,NA,NA
8,0,NA,0.0263546387410332,NA,NA
9,0,NA,0.0285051628212194,NA,NA
10,0,NA,0.0305403309159414,NA,NA
11,0,NA,0.0324604361122764,NA,NA
12,0,NA,0.034269788549675,NA,NA
13,0,NA,0.0359757763030447,NA,NA
14,0,NA,0.0375883319903818,NA,NA
15,0,NA,0.0391196245493532,NA,NA
16,0,NA,0.04058387350524,NA,NA
17,0,NA,0.0419972227298483,NA,NA
18,0,NA,0.0433776315460366,NA,NA
19,0,NA,0.0447447526176455,NA,NA
20,0,NA,0.0461197734195968,NA,NA
21,0,NA,0.0475252040737947,NA,NA
22,0,NA,0.0489846006513732,NA,NA
23,0,NA,0.0505222205523073,NA,NA
24,0,NA,0.0521626154054098,NA,NA
25,0,NA,0.05393017646035,NA,NA
26,0,NA,0.0558486563727244,NA,NA
27,0,NA,0.057940697919251,NA,NA
28,0,NA,0.0602274029058232,NA,NA
29,0,NA,0.0627279723671954,NA,NA
30,0,NA,0.0654594421931983,NA,NA
0,1,NA,0.0106309326564035,NA,NA
1,1,NA,0.0106297178940717,NA,NA
2,1,NA,0.011710003517252,NA,NA
3,1,NA,0.0134746574363665,NA,NA
4,1,NA,0.0155815581261855,NA,NA
5,1,NA,0.0178203501164262,NA,NA
6,1,NA,0.0200750784774214,NA,NA
7,1,NA,0.0222831068365009,NA,NA
8,1,NA,0.0244107947481716,NA,NA
9,1,NA,0.0264407700217591,NA,NA
10,1,NA,0.0283653326458939,NA,NA
11,1,NA,0.0301829556859357,NA,NA
12,1,NA,0.0318963736357178,NA,NA
13,1,NA,0.0335115111685036,NA,NA
14,1,NA,0.0350368715935739,NA,NA
15,1,NA,0.0364831822195533,NA,NA
16,1,NA,0.0378631823813022,NA,NA
17,1,NA,0.0391914851634759,NA,NA
18,1,NA,0.0404844676428176,NA,NA
19,1,NA,0.0417601575135756,NA,NA
20,1,NA,0.0430380918771464,NA,NA
21,1,NA,0.0443391299329435,NA,NA
22,1,NA,0.0456852071801032,NA,NA
23,1,NA,0.0470990255751261,NA,NA
24,1,NA,0.0486036822193241,NA,NA
25,1,NA,0.0502222481813022,NA,NA
26,1,NA,0.0519773179202305,NA,NA
27,1,NA,0.0538905569120218,NA,NA
28,1,NA,0.0559822788676605,NA,NA
29,1,NA,0.0582710832091398,NA,NA
30,1,NA,0.0607735780090886,NA,NA
